stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;K03416;2.1.3.1;1;(S)-Methylmalonyl-CoA	 (S)-Methylmalonyl-coenzyme A	 (2S)-Methylmalonyl-CoA	 D-Methylmalonyl-CoA C00683;substrate;irreversible;;-11;-558;-123;-421;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;(S)-Methylmalonyl-CoA	 (S)-Methylmalonyl-coenzyme A	 (2S)-Methylmalonyl-CoA	 D-Methylmalonyl-CoA C00683;true
0;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;K03416;2.1.3.1;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;substrate;irreversible;;-11;-558;783;-552;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;true
0;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;K03416;2.1.3.1;1;Propanoyl-CoA	 Propionyl-CoA	 Propionyl coenzyme A C00100;product;irreversible;;-11;-558;-287;-391;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;Propanoyl-CoA	 Propionyl-CoA	 Propionyl coenzyme A C00100;true
0;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;K03416;2.1.3.1;1;Oxaloacetate	 Oxalacetic acid	 Oxaloacetic acid	 2-Oxobutanedioic acid	 2-Oxosuccinic acid	 keto-Oxaloacetate C00036;product;irreversible;;-11;-558;65;-538;(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	 (S)-Methylmalonyl-CoA + Pyruvate <=> Propanoyl-CoA + Oxaloacetate R00930;Oxaloacetate	 Oxalacetic acid	 Oxaloacetic acid	 2-Oxobutanedioic acid	 2-Oxosuccinic acid	 keto-Oxaloacetate C00036;true
1;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;K03417;4.1.3.30;1;(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	 Methylisocitrate	 Methylisocitric acid C04593;substrate;irreversible;;102;-83;99;-36;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	 Methylisocitrate	 Methylisocitric acid C04593;true
1;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;K03417;4.1.3.30;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;product;irreversible;;102;-83;783;-552;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;true
1;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;K03417;4.1.3.30;1;Succinate	 Succinic acid	 Butanedionic acid	 Ethylenesuccinic acid C00042;product;irreversible;;102;-83;224;-2;(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	 (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate R00409;Succinate	 Succinic acid	 Butanedionic acid	 Ethylenesuccinic acid C00042;true
2;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;K11263,K18604,K18605,K15036,K15037,K19312,K18603,K18472,K15052,K01966,K01965,K01964,K22568;6.4.1.3;1;HCO3-	 Hydrogencarbonate	 Bicarbonate	 Hydrogen carbonate	 Acid carbonate C00288;substrate;irreversible;;0;-223;-365;-262;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;HCO3-	 Hydrogencarbonate	 Bicarbonate	 Hydrogen carbonate	 Acid carbonate C00288;true
2;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;K11263,K18604,K18605,K15036,K15037,K19312,K18603,K18472,K15052,K01966,K01965,K01964,K22568;6.4.1.3;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;0;-223;92;-263;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;ATP	 Adenosine 5'-triphosphate C00002;true
2;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;K11263,K18604,K18605,K15036,K15037,K19312,K18603,K18472,K15052,K01966,K01965,K01964,K22568;6.4.1.3;1;Propanoyl-CoA	 Propionyl-CoA	 Propionyl coenzyme A C00100;substrate;irreversible;;0;-223;-287;-391;propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	 ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA R01859;Propanoyl-CoA	 Propionyl-CoA	 Propionyl coenzyme A C00100;true
