stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;K00627;2.3.1.12;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;irreversible;;-2;-37;374;-16;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;Acetyl-CoA	 Acetyl coenzyme A C00024;true
0;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;K00627;2.3.1.12;1;Enzyme N6-(dihydrolipoyl)lysine	 Dihydrolipoamide-E	 [E2 protein]-N6-[(R)-dihydrolipoyl]-L-lysine	 [Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine C15973;substrate;irreversible;;-2;-37;34;-59;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;Enzyme N6-(dihydrolipoyl)lysine	 Dihydrolipoamide-E	 [E2 protein]-N6-[(R)-dihydrolipoyl]-L-lysine	 [Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine C15973;true
0;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;K00627;2.3.1.12;1;CoA	 Coenzyme A	 CoA-SH C00010;product;irreversible;;-2;-37;-232;-32;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;CoA	 Coenzyme A	 CoA-SH C00010;true
0;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;K00627;2.3.1.12;1;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	 S-Acetyldihydrolipoamide-E	 Enzyme N6-(S-acetyldihydrolipoyl)lysine C16255;product;irreversible;;-2;-37;-622;92;acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	 Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine R02569;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	 S-Acetyldihydrolipoamide-E	 Enzyme N6-(S-acetyldihydrolipoyl)lysine C16255;true
1;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;K00162,K00163,K00161;1.2.4.1;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;substrate;irreversible;;9;275;387;137;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;true
1;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;K00162,K00163,K00161;1.2.4.1;1;Enzyme N6-(lipoyl)lysine	 Lipoamide-E	 [E2 protein]-N6-lipoyl-L-lysine	 [Lipoyl-carrier protein E2]-N6-lipoyl-L-lysine C15972;substrate;irreversible;;9;275;69;319;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;Enzyme N6-(lipoyl)lysine	 Lipoamide-E	 [E2 protein]-N6-lipoyl-L-lysine	 [Lipoyl-carrier protein E2]-N6-lipoyl-L-lysine C15972;true
1;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;K00162,K00163,K00161;1.2.4.1;1;CO2	 Carbon dioxide C00011;product;irreversible;;9;275;-165;159;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;CO2	 Carbon dioxide C00011;true
1;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;K00162,K00163,K00161;1.2.4.1;1;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	 S-Acetyldihydrolipoamide-E	 Enzyme N6-(S-acetyldihydrolipoyl)lysine C16255;product;irreversible;;9;275;-622;92;pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating)	 Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2 R01699;[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	 S-Acetyldihydrolipoamide-E	 Enzyme N6-(S-acetyldihydrolipoyl)lysine C16255;true
2;pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	 2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA R01196;K00189,K00175,K00174,K00171,K00172,K00170,K03737,K00169;1.2.7.1,1.2.7.11;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;irreversible;;3;83;374;-16;pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	 2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA R01196;Acetyl-CoA	 Acetyl coenzyme A C00024;true
2;pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	 2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA R01196;K00189,K00175,K00174,K00171,K00172,K00170,K03737,K00169;1.2.7.1,1.2.7.11;1;CO2	 Carbon dioxide C00011;substrate;irreversible;;3;83;-165;159;pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	 2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA R01196;CO2	 Carbon dioxide C00011;true
