stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;citrate hydroxymutase	 Citrate <=> Isocitrate R01324;K01682,K01681;4.2.1.3;1;Citrate	 Citric acid	 2-Hydroxy-1,2,3-propanetricarboxylic acid	 2-Hydroxytricarballylic acid C00158;substrate;irreversible;;178.17200469970703;-830.1636352539062;-19.891676664352417;-835.2749485969543;citrate hydroxymutase R01324;Citrate C00158;true
0;citrate hydroxymutase	 Citrate <=> Isocitrate R01324;K01682,K01681;4.2.1.3;1;Isocitrate	 Isocitric acid	 1-Hydroxytricarballylic acid	 1-Hydroxypropane-1,2,3-tricarboxylic acid C00311;product;irreversible;;178.17200469970703;-830.1636352539062;360.7644290924072;-789.1890258789062;citrate hydroxymutase R01324;Isocitrate C00311;true
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;0__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;705.5115356445312;-879.0810546875;708.628173828125;-917.5602933168411;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;0__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;false
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;Isocitrate	 Isocitric acid	 1-Hydroxytricarballylic acid	 1-Hydroxypropane-1,2,3-tricarboxylic acid C00311;substrate;irreversible;;705.5115356445312;-879.0810546875;360.7644290924072;-789.1890258789062;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;Isocitrate C00311;true
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;0__CO2	 Carbon dioxide C00011;product;irreversible;;705.5115356445312;-879.0810546875;809.4135377407074;-843.719784334302;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;0__CO2	 Carbon dioxide C00011;false
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;0__H+	 Hydron C00080;product;irreversible;;705.5115356445312;-879.0810546875;700.4147217273712;-843.315392613411;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;0__H+	 Hydron C00080;false
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;0__NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;705.5115356445312;-879.0810546875;945.4179570674896;-848.7867889404297;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;0__NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;false
1;isocitrate:NAD+ oxidoreductase (decarboxylating)	 Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+ R00709;K17753,K00030;1.1.1.41,1.1.1.286;1;2-Oxoglutarate	 Oxoglutaric acid	 2-Ketoglutaric acid	 alpha-Ketoglutaric acid C00026;product;irreversible;;705.5115356445312;-879.0810546875;1011.3890380859375;-672.6760101318359;isocitrate:NAD+ oxidoreductase (decarboxylating) R00709;2-Oxoglutarate C00026;true
2;Isocitrate:NADP+ oxidoreductase (decarboxylating)	 Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+ R00267;K00031;1.1.1.42;1;0__NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;569.9793701171875;-739.6511840820312;577.8223876953125;-783.6199951171875;Isocitrate:NADP+ oxidoreductase (decarboxylating) R00267;0__NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;false
2;Isocitrate:NADP+ oxidoreductase (decarboxylating)	 Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+ R00267;K00031;1.1.1.42;1;Isocitrate	 Isocitric acid	 1-Hydroxytricarballylic acid	 1-Hydroxypropane-1,2,3-tricarboxylic acid C00311;substrate;irreversible;;569.9793701171875;-739.6511840820312;360.7644290924072;-789.1890258789062;Isocitrate:NADP+ oxidoreductase (decarboxylating) R00267;Isocitrate C00311;true
