stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00194,K15023,K00197,K14138;2.3.1.169,2.1.1.258;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;1198.3017309947948;75.29523299399727;876.4078065233143;169.7002963991435;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Tetrahydrofolate C00101;true
0;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00194,K15023,K00197,K14138;2.3.1.169,2.1.1.258;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;1198.3017309947948;75.29523299399727;1050.9777177950718;73.17907765403004;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Acetyl-CoA C00024;true
0;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00194,K15023,K00197,K14138;2.3.1.169,2.1.1.258;1;5-Methyltetrahydrofolate C00440;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;1198.3017309947948;75.29523299399727;1388.821656037036;469.1810689430382;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;5-Methyltetrahydrofolate C00440;true
0;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00194,K15023,K00197,K14138;2.3.1.169,2.1.1.258;1;CoA	 Coenzyme A	 CoA-SH C00010;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;1198.3017309947948;75.29523299399727;1055.2270060805536;91.74301017459823;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Coenzyme A C00010;true
0;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00194,K15023,K00197,K14138;2.3.1.169,2.1.1.258;1;0__CO	 Carbon monoxide C00237;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;1198.3017309947948;75.29523299399727;1176.4498138427734;24.36623191833496;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;CO C00237;false
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;5,10-Methenyltetrahydrofolate C00445;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;873.8984296097257;307.0959872186464;873.2885627278704;343.7170232749859;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;5,10-Methenyltetrahydrofolate C00445;true
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;0__H2O	 Water C00001;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;873.8984296097257;307.0959872186464;905.09011054039;286.6944851875305;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;H2O C00001;false
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;10-Formyltetrahydrofolate	 10-Formyl-THF C00234;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;873.8984296097257;307.0959872186464;875.0183680855043;257.22800653279126;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;10-Formyltetrahydrofolate C00234;true
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;0__H+	 Hydron C00080;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;873.8984296097257;307.0959872186464;908.8029022216797;329.56876373291016;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;H+ C00080;false
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;5,10-Methylenetetrahydrofolate	 (6R)-5,10-Methylenetetrahydrofolate	 5,10-Methylene-THF C00143;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;872.658671113333;395.11696334331225;871.282899424806;437.8187660830487;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;5,10-Methylenetetrahydrofolate C00143;true
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;0__NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;872.658671113333;395.11696334331225;912.4613571166992;372.48733162879944;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;NADP+ C00006;false
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;5,10-Methenyltetrahydrofolate C00445;product;reversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;872.658671113333;395.11696334331225;873.2885627278704;343.7170232749859;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;5,10-Methenyltetrahydrofolate C00445;true
