stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;reversible;superkingdom:Archaea;410.4509602481975;-189.83005067177749;583.0770323061533;-235.28411539198754;ATP:acetate phosphotransferase R00315;Acetate C00033;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;0__ATP	 Adenosine 5'-triphosphate C00002;substrate;reversible;superkingdom:Archaea;410.4509602481975;-189.83005067177749;426.9362874031067;-223.92789727449417;ATP:acetate phosphotransferase R00315;ATP C00002;false
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetyl phosphate C00227;product;reversible;superkingdom:Archaea;410.4509602481975;-189.83005067177749;380.60393643597;-137.24225217498272;ATP:acetate phosphotransferase R00315;Acetyl phosphate C00227;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;reversible;superkingdom:Archaea;410.4509602481975;-189.83005067177749;432.87527499983844;-161.34163370700117;ATP:acetate phosphotransferase R00315;ADP C00008;false
1;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase	 Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane R04541;K00399,K00401,K00402;2.8.4.1;1;2-(Methylthio)ethanesulfonate	 Methylcoenzyme M	 Methyl-CoM	 2-(Methylsulfanyl)ethane-1-sulfonate C03920;substrate;reversible;superkingdom:Archaea;429.89365883597293;189.8171988520672;440.3966330903901;130.50030973820316;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase R04541;2-(Methylthio)ethanesulfonate C03920;true
1;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase	 Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane R04541;K00399,K00401,K00402;2.8.4.1;1;Coenzyme B	 N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate	 N-(7-Mercaptoheptanoyl)threonine O3-phosphate	 HTP	 CoB C04628;substrate;reversible;superkingdom:Archaea;429.89365883597293;189.8171988520672;239.6694363868171;317.61354427150326;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase R04541;Coenzyme B C04628;true
1;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase	 Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane R04541;K00399,K00401,K00402;2.8.4.1;1;Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide	 Coenzyme M-HTP heterodisulfide	 CoM-S-S-CoB	 N-{7-[(2-Sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine C04832;product;reversible;superkingdom:Archaea;429.89365883597293;189.8171988520672;520.5103340054147;284.3628499784434;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase R04541;Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide C04832;true
1;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase	 Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane R04541;K00399,K00401,K00402;2.8.4.1;1;Methane	 CH4 C01438;product;reversible;superkingdom:Archaea;429.89365883597293;189.8171988520672;323.7602213255848;157.15440555529693;2-(methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase R04541;Methane C01438;true
2;CoB,CoM:ferredoxin oxidoreductase	 Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+ R11931;K03390,K22481,K03389,K03388,K22482,K22480;1.8.7.3;1;Coenzyme B	 N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate	 N-(7-Mercaptoheptanoyl)threonine O3-phosphate	 HTP	 CoB C04628;substrate;reversible;superkingdom:Archaea;71.06100951641477;446.56735137528614;239.6694363868171;317.61354427150326;CoB,CoM:ferredoxin oxidoreductase R11931;Coenzyme B C04628;true
2;CoB,CoM:ferredoxin oxidoreductase	 Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+ R11931;K03390,K22481,K03389,K03388,K22482,K22480;1.8.7.3;1;Coenzyme M	 2-Mercaptoethanesulfonate	 Reduced coenzyme M	 HS-CoM	 CoM C03576;substrate;reversible;superkingdom:Archaea;71.06100951641477;446.56735137528614;982.7072684570265;250.38514338381304;CoB,CoM:ferredoxin oxidoreductase R11931;Coenzyme M C03576;true
