stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;reversible;superkingdom:Archaea;326.70061437777906;1.2722922177299267;234.11379628659512;-51.031350298683265;ATP:acetate phosphotransferase R00315;Acetate C00033;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;0__ATP	 Adenosine 5'-triphosphate C00002;substrate;reversible;superkingdom:Archaea;326.70061437777906;1.2722922177299267;359.0155460834503;-30.0533390045166;ATP:acetate phosphotransferase R00315;ATP C00002;false
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetyl phosphate C00227;product;reversible;superkingdom:Archaea;326.70061437777906;1.2722922177299267;328.57527272438585;49.017639013161215;ATP:acetate phosphotransferase R00315;Acetyl phosphate C00227;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;reversible;superkingdom:Archaea;326.70061437777906;1.2722922177299267;361.21948312668314;21.94332322289364;ATP:acetate phosphotransferase R00315;ADP C00008;false
1;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;reversible;superkingdom:Archaea;331.09468636067515;102.41244502043816;333.95167271455614;159.90510123750562;acetyl-CoA:phosphate acetyltransferase R00230;Acetyl-Co C00024;true
1;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;substrate;reversible;superkingdom:Archaea;331.09468636067515;102.41244502043816;378.5073532576122;85.94841356792062;acetyl-CoA:phosphate acetyltransferase R00230;Phosphate C00009;false
1;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;CoA	 Coenzyme A	 CoA-SH C00010;product;reversible;superkingdom:Archaea;331.09468636067515;102.41244502043816;116.48865506715424;159.79123913544151;acetyl-CoA:phosphate acetyltransferase R00230;Coenzyme A C00010;true
1;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Acetyl phosphate C00227;product;reversible;superkingdom:Archaea;331.09468636067515;102.41244502043816;328.57527272438585;49.017639013161215;acetyl-CoA:phosphate acetyltransferase R00230;Acetyl phosphate C00227;true
2;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;reversible;superkingdom:Archaea;121.48209330022559;2.5788240790113264;234.11379628659512;-51.031350298683265;Acetate:CoA ligase R00235;Acetate C00033;true
2;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;CoA	 Coenzyme A	 CoA-SH C00010;substrate;reversible;superkingdom:Archaea;121.48209330022559;2.5788240790113264;116.48865506715424;159.79123913544151;Acetate:CoA ligase R00235;Coenzyme A C00010;true
