stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;5,6,7,8-Tetrahydromethanopterin	 H4MPT	 THMPT	 Tetrahydromethanopterin C01217;substrate;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;193.4245446180189;321.77779814336054;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;5,6,7,8-Tetrahydromethanopterin C01217;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;Formylmethanofuran C01001;substrate;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;84.20362190671426;380.92478985395434;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;Formylmethanofuran C01001;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;5,6,7,8-Tetrahydromethanopterin	 H4MPT	 THMPT	 Tetrahydromethanopterin C01217;substrate;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;193.4245446180189;321.77779814336054;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;5,6,7,8-Tetrahydromethanopterin C01217;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;Formylmethanofuran C01001;substrate;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;84.20362190671426;380.92478985395434;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;Formylmethanofuran C01001;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;5-Formyl-5,6,7,8-tetrahydromethanopterin	 5-Formyl-H4MPT C01274;product;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;255.63319218377228;384.8735834357442;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;5-Formyl-5,6,7,8-tetrahydromethanopterin C01274;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;Methanofuran	 Carbon dioxide reduction factor C00862;product;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;74.66908681894176;305.7088989544612;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;Methanofuran C00862;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;5-Formyl-5,6,7,8-tetrahydromethanopterin	 5-Formyl-H4MPT C01274;product;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;255.63319218377228;384.8735834357442;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;5-Formyl-5,6,7,8-tetrahydromethanopterin C01274;true
0;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase	 Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin R03390;K00672;2.3.1.101;1;Methanofuran	 Carbon dioxide reduction factor C00862;product;reversible;superkingdom:Archaea;211.43796962071167;414.64931046633046;74.66908681894176;305.7088989544612;Formylmethanofuran:5,6,7,8-tetrahydromethanopterin 5-formyltransferase R03390;Methanofuran C00862;true
1;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;5,10-Methenyltetrahydromethanopterin	 5,10-Methenyl-5,6,7,8-tetrahydromethanopterin	 N5,N10-Methenyltetrahydromethanopterin C04330;substrate;reversible;superkingdom:Archaea;310.46829606821;350.8754547183577;383.0769658003278;286.76237465865717;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;5,10-Methenyltetrahydromethanopterin C04330;true
1;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;0__H2O	 Water C00001;substrate;reversible;superkingdom:Archaea;310.46829606821;350.8754547183577;209.9267554283142;296.3226161599159;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;H2O C00001;false
